id_orgao,orgao,link
201060,ALTO ALEGRE DO MARANHÃO - MA,
201070,CRUZEIRO DO SUL - AC,
201080,ALTO ALEGRE DO PINDARE - MA,
201090,MANCIO LIMA - AC,
201100,AMAPÁ DO MARANHÃO - MA,
201110,NOVA MARINGA - MT,
201120,APICUM-ACU - MA,
201130,FEIJO - AC,
201140,ARAGUANA - MA,
201150,SANTO AFONSO - MT,
201160,BACABEIRA - MA,
201170,NOVA BANDEIRANTES - MT,
201180,BACURITUBA - MA,
201190,NOVA MONTE VERDE - MT,
201200,BELAGUA - MA,
201210,NOVA GUARITA - MT,
201220,BELA VISTA DO MARANHÃO - MA,
201230,SANTA CARMEN - MT,
201240,BERNARDO DO MEARIM - MA,
201250,TABAPORA - MT,
201260,BOA VISTA DO GURUPI - MA,
201270,ALTO BOA VISTA - MT,
201280,BOM JESUS DAS SELVAS - MA,
201290,CANABRAVA DO NORTE - MT,
201300,BOM LUGAR - MA,
201310,CONFRESA - MT,
201320,BREJO DE AREIA - MA,
201330,"SAO JOSE DO XINGU
- MT",
201340,BURITICUPU - MA,
201350,GLORIA D'OESTE - MT,
201360,BURITIRANA - MA,
201370,LAMBARI D'OESTE - MT,
201380,CACHOEIRA GRANDE - MA,
201390,RIO BRANCO - AC,
201400,CAMPESTRE DO MARANHÃO - MA,
201410,ALCINOPOLIS - MS,
201420,"CAPINZAL DO NORTE
- MA",
201430,NOVA ALVORADA DO SUL - MS,
201440,CENTRAL DO MARANHÃO - MA,
201450,SENA MADUREIRA - AC,
201460,CENTRO DO GUILHERME - MA,
201470,TARAUACA - AC,
201480,CENTRO NOVO DO MARANHÃO - MA,
201490,XAPURI - AC,
201500,CIDELÂNCIA - MA,
201510,PLACIDO DE CASTRO,
201510,PLACIDO DE CASTRO - AC,
201520,CONCEIÇÃO DO LAGO-ACU - MA,
201530,SENADOR GUIOMARD - AC,
201540,DAVINÓPOLIS - MA,
201550,MANOEL URBANO - AC,
201560,FEIRA NOVA DO MARANHÃO - MA,
201570,ASSIS BRASIL - AC,
201580,"FERNANDO FALCÃO
- MA",
201590,NOVO HORIZONTE DO SUL - MS,
201600,FORMOSA DA SERRA NEGRA - MA,
201610,JAPORA - MS,
201620,GOVERNADOR EDSON LOBÃO - MA,
201630,LAGUNA CARAPA - MS,
201640,GOVERNADOR LUIS ROCHA - MA,
201650,ANGICO - TO,
201660,GOVERNADOR NEWTON BELLO - MA,
201670,ARAGOMINAS - TO,
201680,GOVERNADOR NUNES FREIRE - MA,
201690,ARAGUANA - TO,
201700,IGARAPÉ DO MEIO - MA,
201710,CACHOEIRINHA - TO,
201720,ITAIPAVA DO GRAJAÚ - MA,
201730,CAMPOS LINDOS - TO,
201740,ITINGA DO MARANHÃO - MA,
201750,CARMOLANDIA - TO,
201760,JATOBÁ - MA,
201770,CARRASCO BONITO - TO,
201780,JENIPAPO DOS VIEIRAS - MA,
201790,DARCINOPOLIS - TO,
201800,JUNCO DO MARANHÃO - MA,
201810,ESPERANTINA - TO,
201820,LAGOA DO MATO - MA,
201830,MAURILANDIA DO TOCANTINS - TO,
201840,LAGO DOS RODRIGUES - MA,
201850,PALMEIRA DO TOCANTINS - TO,
201860,LAGOA GRANDE DO MARANHÃO - MA,
201870,MURICILANDIA - TO,
201880,LAJEADO NOVO - MA,
